Meet|Level|Date|Results|Meet Url
Redwood Empire Championships|Local|2017-08-05|77|2718
Southwest Cup|Local|2017-08-04|92|2250
RWL OPEN WEIGHTLIFTING COMPETITION|Local|2017-07-29|43|2142
Louisiana State Championship|Local|2017-07-29|79|2670
The Weightlifting Classic|Local|2017-07-29|46|2728
ZKC International Meet|Local|2017-07-29|6|2795
315 Summer Showdown|Local|2017-07-29|44|2708
Georgia Games Olympic Weightlifting Championship|Local|2017-07-29|57|2720
Summertime and the lifting is easy|Local|2017-07-29|33|2764
The Weightlifting Classic|Local|2017-07-29|46|2728
Nike 2017 American Open Series 2|National|2017-07-27|727|2404
2017 Senior Pan American Championships|International|2017-07-23|18|2789
2017 NJ Outdoor LWC Championships and Open|Local|2017-07-22|26|2739
Lily Weightlifting's Lifting Palace|Local|2017-07-22|16|2783
Badger State Games|Local|2017-07-22|72|2463
2017 Weightlifting Daze|Local|2017-07-22|61|2679
SoCal Summer Classic|Local|2017-07-22|35|2710
Beyond Parallel Open|Local|2017-07-22|30|2753
Summer Slam- A Texas State Meet Qualifier|Local|2017-07-22|13|2732
TSS Summer Showdown|Local|2017-07-22|59|2661
Bay State Games|Local|2017-07-22|106|2694
BGB Suns Out, Guns Out|Local|2017-07-22|34|2651
Rocky Mountain State Games|Local|2017-07-22|116|2633
CrossFit Defined Lincoln Square USAW WL Meet|Local|2017-07-22|69|2698
2017 Canusa Summer Open|Local|2017-07-21|78|2736
2017 Asian Junior Championships|International|2017-07-21|1|2991
Closed West Michigan Barbell Meet|Local|2017-07-20|6|2793
July Weightlifting League|Local|2017-07-16|9|2749
Central Texas Summer Invitational|Local|2017-07-15|8|2762
2017 Black & Red Open|Local|2017-07-15|108|2595
DAARTTS Hawaii Weightifting open|Local|2017-07-15|50|2617
Iron Beaver Summer Slam|Local|2017-07-15|20|2755
Circle City Open|Local|2017-07-15|67|2683
Appalachian Open|Local|2017-07-15|21|2664
2017 Puerto Rico Nationals|Local|2017-07-14|1|2853
California State Games|Local|2017-07-13|131|2330
Liftmas in July|Local|2017-07-08|18|2549
2017 Oklahoma State Championships of Weightlifting|Local|2017-07-08|69|2784
Onaga Blast Chance|Local|2017-07-08|67|2475
5 Bar Challenge|Local|2017-07-08|48|2508
2017 CMG  Summer Blast Development Meet|Local|2017-07-08|8|2786
2017 New Mexico 20 and Under Championships|Local|2017-07-08|10|2699
Crow Hill Open 2017|Local|2017-07-08|108|2326
Freedom Classic|Local|2017-07-08|12|2600
Big Blue Summer Slam|Local|2017-07-08|9|2759
True Fit Open|Local|2017-07-08|17|2738
Independence Open|Local|2017-07-02|26|2745
Out of Step Barbell Open #14|Local|2017-07-01|15|2706
2017 Handle Barbell Invitational|Local|2017-07-01|28|2573
DAARTTS Hawaii youth and masters weightlifting open|Local|2017-07-01|11|2616
DES MOINES OPEN|Local|2017-07-01|30|2650
Summer Qualifier|Local|2017-07-01|7|2790
The Praelium|Local|2017-07-01|104|2662
EAW SummerLift|Local|2017-07-01|19|2725
Last chance for MIA AO|Local|2017-07-01|34|2674
SC LWC State Championships|Local|2017-07-01|24|2665
Equality D Meet|Local|2017-06-29|8|2757
Collier Lift-Off: Presented by Golden Gate High School|Local|2017-06-24|7|2690
The Thompson Classic|Local|2017-06-24|14|2721
2017 Trident Championships|Local|2017-06-24|57|2501
The Thompson Classic|Local|2017-06-24|14|2721
Collier Lift-Off: Presented by Golden Gate High School|Local|2017-06-24|7|2690
2017 USA Weightlifting National Youth Championships|National|2017-06-22|763|2420
Vaughn Weightlifting Dallas Open|Local|2017-06-18|16|2696
June Weightlifting League|Local|2017-06-18|31|2526
3rd Annual Olympic Day Strength Fest|Local|2017-06-17|22|2647
Robert Murphy Memorial at the Sunshine State Games|Local|2017-06-17|57|2691
OK State Tune Up/Newcomer Meet|Local|2017-06-17|12|2692
Peaks Summer Classic|Local|2017-06-17|29|2765
ALLSOUTH Barbell Invitational|Local|2017-06-17|33|2700
Chicago Strength In-house Throwdown|Local|2017-06-17|7|2735
ASQW LAST CHANCE AO II QUALIFIER|Local|2017-06-17|23|2746
Star of the North Games|Local|2017-06-17|57|2703
2nd Annual First Timer's Meet|Local|2017-06-17|20|2634
2nd Annual Crestview Bar Slam|Local|2017-06-17|28|2581
95East Summer Classic|Local|2017-06-17|30|2593
Kauai Weightlifting In-House Meet|Local|2017-06-17|6|2760
IWF JUNIOR WORLD CHAMPIONSHIPS|International|2017-06-15|17|2763
Pre-Solstice Open|Local|2017-06-11|25|2672
The Wilton Open|Local|2017-06-11|51|2432
Juggernaut Summer Showdown|Local|2017-06-11|52|2558
WhiteRose Barbell Club Developmental Meet|Local|2017-06-11|7|2623
Boise Barbell Open|Local|2017-06-10|25|2669
Summer Dream Chaser|Local|2017-06-10|8|2730
RVA Open 2017|Local|2017-06-10|111|2744
Athleo Open|Local|2017-06-10|17|2631
Second Annual Coal Region Classic|Local|2017-06-10|33|2434
Hassle Free BBC|Local|2017-06-10|109|2677
2017 Michigan Weightlifting State Championships|Local|2017-06-10|56|2613
2017 Pan American Masters Championships|International|2017-06-09|39|2877
June Development Meet|Local|2017-06-09|6|2747
14th International Women Weightlifting Grand Prix|Local|2017-06-08|1|2817
BASA BIG Sunday Open|Local|2017-06-04|40|2614
2017 West Chester Summer Classic|Local|2017-06-03|81|2584
NM Games|Local|2017-06-03|94|2639
U of O Weightlifting Classic|Local|2017-06-03|24|2586
The Lab Gym's Summer Open|Local|2017-06-03|59|2545
Flight Meet II|Local|2017-06-03|42|2567
4th Annual Mississippi State Weightlifting Championship|Local|2017-06-03|31|2653
OLYMPIA PHOENIX CUP|Local|2017-06-03|45|2592
Summer Slang 2017|Local|2017-06-03|40|2507
Battle of Normandy (D-Day) 2017|Local|2017-06-03|20|2296
2017 Weightlifting Wise Championships and American Armed Forces Open|Local|2017-06-03|87|2717
Test Meet|Local|2017-06-01|1|2223
Intrepid Memorial Open|Local|2017-05-27|16|2659
Port City Barbell Memorial Day Open '17|Local|2017-05-27|25|2585
RWL MEMORIAL DAY OPEN WEIGHTLIFTING COMPETITION|Local|2017-05-27|90|2053
Harambe Classic|Local|2017-05-27|12|2673
2017 Vero Beach Classic|Local|2017-05-27|83|2569
2017 Vero Beach Classic|Local|2017-05-27|83|2569
Last Chance Youth|Local|2017-05-21|12|2724
May Weightlifting League|Local|2017-05-21|15|2525
Moorestown Spring Open|Local|2017-05-21|50|2515
Weights & Lakes Open|Local|2017-05-20|33|2528
Freak Show Open|Local|2017-05-20|79|2338
Thor's Stone Spring Weightlifting Meet|Local|2017-05-20|10|2689
last chance youth|Local|2017-05-20|6|2722
1st Annual Tommy Kono Open|Local|2017-05-20|49|2572
Last Chance Qualififier|Local|2017-05-20|6|2723
WWC Spring Open|Local|2017-05-20|39|2563
Team Arizona Open & Youth National Qualifier|Local|2017-05-20|26|2424
2017 SENSE Gym Developmental Meet 1|Local|2017-05-20|9|2715
Primal Mountain Atlanta or Bust|Local|2017-05-20|6|2671
Indiana State Weightlifting Championships|Local|2017-05-20|49|2629
Time Trials|Local|2017-05-20|9|2716
2017 CTS Wine Country Classic|Local|2017-05-20|70|2458
Mash Mafia Invitational|Local|2017-05-20|10|2705
SPS Championships|Local|2017-05-20|23|2630
2017 National Law Enforcement Officers Memorial Weightlifting Meet|Local|2017-05-20|36|2400
2017 TCA Summer Lift-Off Weightlifting Meet|Local|2017-05-20|70|2300
2017 HWC Youth Nationals Qualifier|Local|2017-05-20|9|2642
Dogg Days Open|Local|2017-05-20|24|2675
2017 Lock and Load Weightlifting Championships|Local|2017-05-20|133|2622
East Coast Classic|Local|2017-05-20|107|2279
Conquer all Chaos|Local|2017-05-19|10|2711
Port Orange Meet|Local|2017-05-19|9|2712
Youth Last Chance Qualifier|Local|2017-05-19|7|2713
Last Chance Youth Qualifier|Local|2017-05-19|7|2387
Do or Die|Local|2017-05-19|6|2719
Spring 3|Local|2017-05-16|15|2702
Mid-May Max Out|Local|2017-05-16|5|2697
GrassIron Spring Fling 2017|Local|2017-05-14|22|2560
Mission 1 Weightlifting Meet|Local|2017-05-13|14|2580
Solcana Beginner Meet 2017|Local|2017-05-13|35|2678
Inaugural Titan Meet|Local|2017-05-13|21|2635
The Lab Spring Open|Local|2017-05-13|25|2500
Freak Show Open WLC|Local|2017-05-13|13|2618
2017 Nashville Weightlifting Open|Local|2017-05-13|57|2481
2017 USA Weightlifting National Championships|National|2017-05-11|368|2419
Westchester spring invitational|Local|2017-05-07|31|2602
The Larry Mintz Memorial|Local|2017-05-07|56|2454
Unrivaled Spring Open 2017|Local|2017-05-07|55|2554
Epidemic Open|Local|2017-05-06|8|2666
FRCF Spring Weightlifting Meet|Local|2017-05-06|107|2442
Derby Weightlifting Classic|Local|2017-05-06|12|2667
Vaughn Weightlifting Florida Open|Local|2017-05-06|65|2485
WarGames 2017:  The Battle For PRs|Local|2017-05-06|42|2582
Visalia Spring Lift Off 2017|Local|2017-05-06|25|2636
AZO Lift Off|Local|2017-05-06|8|2648
Vaughn Weightlifting Florida Open|Local|2017-05-06|65|2485
WarGames 2017:  The Battle For PRs|Local|2017-05-06|42|2582
Visalia Spring Lift Off 2017|Local|2017-05-06|25|2636
AZO Lift Off|Local|2017-05-06|8|2648
Matt Davis Memorial|Local|2017-05-06|60|2412
Wild West Spring Open|Local|2017-05-06|29|2553
Emerald Isle Open|Local|2017-05-06|14|2467
Barbell MAYnia|Local|2017-05-05|51|2452
2017 Junior Pan American Championships|International|2017-05-01|16|2709
2017 New Haven Open|Local|2017-04-30|77|2371
First Timers Meet|Local|2017-04-30|13|2386
Fairwel to Buddy|Local|2017-04-30|12|2657
Out of Step Barbell Open #13|Local|2017-04-29|26|2608
Badger Weightlifting Open|Local|2017-04-29|43|2502
The Jack Hughes Memorial Meet|Local|2017-04-29|44|2566
2017 Bossier Crossfit Weightlifting classic|Local|2017-04-29|19|2641
First Coast Open and 904 Championships|Local|2017-04-29|12|2652
2017 Houston Weightlifting Championships|Local|2017-04-29|106|2274
Doral Weightlifting Championship|Local|2017-04-29|35|2471
NOLA WEIGHTLIFTING OPEN|Local|2017-04-29|33|2547
Elmira Spring Open|Local|2017-04-29|60|2461
Whitney April Lift Off|Local|2017-04-29|62|2612
Downtown Throwdown Weightlifting Exhibition|Local|2017-04-29|10|2688
Yellow Brick Road|Local|2017-04-29|69|2474
Altitude Athletics Annual Spring Open 2017|Local|2017-04-29|37|2603
2017 Liberty Barbell Classic|Local|2017-04-29|76|2270
2nd Annual JT Kalnay Memorial Olympic Lifting Meet|Local|2017-04-29|49|2466
Second Annual Paws and Platforms meet|Local|2017-04-23|36|2544
April Weightlifting League|Local|2017-04-23|15|2524
SPRING CLEAN 17|Local|2017-04-23|58|2632
Murder of Crows Closed Meet|Local|2017-04-23|14|2510
2017 CHFP Youth & Junior Developmental Meet|Local|2017-04-23|17|2606
2017 HWC Unbroken Open|Local|2017-04-23|45|2456
TeamWNY Spring Cleaning Open III|Local|2017-04-22|28|2523
2017 Spring Classic|Local|2017-04-22|30|2598
Occam Back Alley Rumble|Local|2017-04-22|67|2527
Illinois State Championships and Open WL Championships|Local|2017-04-22|60|2268
Iron Athlete Spring Open|Local|2017-04-22|42|2519
Wisconsin Spring Thaw Throwdown|Local|2017-04-22|64|2498
Triumph Barbell Earth Movers|Local|2017-04-22|27|2455
Pittsburgh Spring Open Weightlifting Championships|Local|2017-04-22|43|2564
2017 World Masters Games|International|2017-04-21|88|2842
The Praxis Cup 2017|Local|2017-04-21|71|2251
The Alameda Weightlifting Competition|Local|2017-04-16|26|2469
The Miller Gym 3rd Anniversary Invite|Local|2017-04-15|22|2575
Spring Meet CMWLC 2017|Local|2017-04-15|6|2565
UnCharted Barbell's Spring Meet|Local|2017-04-15|62|2414
West Michigan Muscle Senior National Qualifier|Local|2017-04-15|26|2587
NO WAY OUT LAST CHANCE QUALIFIER|Local|2017-04-15|10|2619
Industrious Weightlifting Championship|Local|2017-04-15|78|2448
Speed Shop Spring Open|Local|2017-04-15|44|2406
Industrious Weightlifting Championship|Local|2017-04-15|78|2448
Meet 101|Local|2017-04-15|9|2638
5TH HoundWood Gym Pocket-Size Open|Local|2017-04-15|13|2556
IRON BEAVER SPRING OPEN|Local|2017-04-15|42|2470
Hyde Park Southside Showdown (TSCQE)|Local|2017-04-15|57|2535
HD Classic|Local|2017-04-15|46|2514
The Miller Gym 3rd Anniversary Invite|Local|2017-04-15|22|2575
2017 Wyoming Weightlifting State Championships|Local|2017-04-15|22|2364
West Michigan Muscle Senior National Qualifier|Local|2017-04-15|26|2587
NO WAY OUT LAST CHANCE QUALIFIER|Local|2017-04-15|10|2619
Mid Atlantic LWC Last Chance Qualifier|Local|2017-04-15|6|2609
Bushwood Classic|Local|2017-04-15|30|2559
2017 THE NORTHWEST NATIONAL QUALIFIER|Local|2017-04-15|38|2517
The Big Dog Lift Off|Local|2017-04-15|18|2610
Alpha Invite|Local|2017-04-15|13|2589
Big D Developmental|Local|2017-04-15|16|2621
3rd Annual I-STEP Invitational & Developmental Meet|Local|2017-04-15|15|2518
Alaska Spring Classic Meet|Local|2017-04-15|20|2611
Chicagoland Last Chance Meet|Local|2017-04-15|10|2643
National Deadline Open|Local|2017-04-15|13|2486
Scottsdale Barbell Last Chance Qualifier|Local|2017-04-15|27|2551
UnCharted Barbell's Spring Meet|Local|2017-04-15|62|2414
Alex's Last Shot|Local|2017-04-15|5|2646
Development Meet (April)|Local|2017-04-14|6|2624
April Last Chance Qualifier|Local|2017-04-13|7|2644
Spring 2|Local|2017-04-12|13|2649
2017 Capital City Open|Local|2017-04-09|121|2286
2nd Annual Alabama Open|Local|2017-04-08|7|2348
Spring "Cleaning" Event|Local|2017-04-08|24|2596
Battle of Fallujah 2017|Local|2017-04-08|30|2295
Butte Barbell Nationals Qualifier|Local|2017-04-08|25|2577
NorthWest Houston Open|Local|2017-04-08|29|2506
Duke City Invitational|Local|2017-04-08|8|2578
FRCF April Meet 2017|Local|2017-04-08|11|2571
Nike 2017 National University Championship|National|2017-04-06|164|2350
Nike 2017 National Under 25 Championship|National|2017-04-06|107|2405
2017 IWF Youth World Championships|International|2017-04-03|16|2676
Funky Town Throwdown|Local|2017-04-02|57|2374
2017 NYC Open|Local|2017-04-02|49|2464
Barbells and Brews - Blue Moon|Local|2017-04-01|56|2533
OLYMPIA MASTERS CHAMPIONSHIP|Local|2017-04-01|17|2534
Eastbound and Down|Local|2017-04-01|18|2504
2017 SOUTH BEAUREGARD OPEN|Local|2017-04-01|18|2640
2017 Florida Cup|Local|2017-04-01|61|2472
Barbell Syndicate Throwdown|Local|2017-04-01|12|2601
1st Annual United States Performance Center Spring Meet|Local|2017-04-01|12|2562
2017 Fool's Open|Local|2017-04-01|40|2521
36th Annual Spartan Open|Local|2017-03-25|67|2382
Spring Open|Local|2017-03-25|20|2574
Chicago Open Weightlifting Competition|Local|2017-03-25|32|2530
Team FL Jax Spring Open|Local|2017-03-25|22|2599
Henderson Youth Championships 2017|Local|2017-03-25|6|2542
Vulkan Weightlifting Spring Open|Local|2017-03-25|13|2532
Mini meet March|Local|2017-03-25|7|2591
Third Annual Kentucky State Championship|Local|2017-03-25|94|1927
The Queen City Classic|Local|2017-03-25|63|2375
Minnesota LWC Championships|Local|2017-03-25|78|2425
2017 Iron Tiger Open / Last Chance Qualifier|Local|2017-03-25|22|2343
Spring Open|Local|2017-03-25|20|2574
Fortius Open|Local|2017-03-25|61|2298
2017 Doc Yogi Memorial|Local|2017-03-25|47|2576
Force Weightlifting Midwest Open Championships|Local|2017-03-25|48|2496
Spring Classic|Local|2017-03-25|43|2289
March Weightlifting League Competition|Local|2017-03-19|13|2403
Spring 2017 IronCat Open at Texas State University|Local|2017-03-18|25|2465
Capitol City Weightlifting   Championship|Local|2017-03-18|35|2028
Can You Cut the Mustard|Local|2017-03-18|66|2480
New England Invitational|Local|2017-03-18|24|2473
The 2017 Lehigh Valley Open|Local|2017-03-18|132|2176
Spring 1|Local|2017-03-17|15|2579
Nike 2017 American Open Series 1|National|2017-03-16|547|2349
L.C.Q. Minnesota|Local|2017-03-12|18|2520
The Metropolitan Classic|Local|2017-03-12|41|2453
Minnesota State High School Championship|Local|2017-03-11|145|2541
Barbell Madness III|Local|2017-03-11|17|2493
Apesquad Spring Invitational|Local|2017-03-11|15|2548
210 Weightlifting March Madness|Local|2017-03-11|41|2540
National Masters Weightlifting Championships|National|2017-03-09|458|2140
Northeastern States Open, Junior and Masters|Local|2017-03-05|70|2248
Blaze Barbell Invitational|Local|2017-03-05|6|2557
Soul Last Chance Qualifier|Local|2017-03-04|8|2552
PFB Northwest Masters Showcase|Local|2017-03-04|7|2477
Bennito Bash|Local|2017-03-04|18|2555
Barbell Battle in the Bluffs|Local|2017-03-04|56|2435
BlackBox Championships (2018 TSQE)|Local|2017-03-04|44|2376
EAW WinterLift|Local|2017-03-04|43|2410
Shamrocks & Snatches Open|Local|2017-03-04|44|2398
Last Chance Qualifier!|Local|2017-03-04|16|2322
Last Chance University/23U|Local|2017-03-04|6|2568
Lift Like a Girl III Developmental Meet|Local|2017-03-04|9|2538
2017 East Carolina Weightlifting Open|Local|2017-03-04|44|2380
The Gym Meet Sodosopa|Local|2017-03-04|7|2550
Weber State Weightlifting Last Chance Qualifier|Local|2017-03-04|7|2529
The Arnold Weightlifting Championships|Local|2017-03-02|272|2271
The 64th Kanagawa Prefecture Weightlifting Competition|Local|2017-02-26|1|2488
end of february competition|Local|2017-02-26|7|2536
BN Barbell Developmental Meet|Local|2017-02-26|7|2537
2017 Lake Effect Lift Off|Local|2017-02-25|50|2383
North Dakota High School Weightlifting State Championships|Local|2017-02-25|44|2362
North Dakota High School Weightlifting State Championships|Local|2017-02-25|44|2362
End of Winter Competition|Local|2017-02-25|6|2495
2017 National Junior Championships|National|2017-02-23|376|2256
Donny Shankle SBC Classic|Local|2017-02-19|29|2479
Virus winter open|Local|2017-02-19|49|2351
Central Texas Championships|Local|2017-02-19|27|2451
The Iron Game Open 2017|Local|2017-02-19|41|2436
2017 Impervious Open|Local|2017-02-19|31|2377
Third Annual Black Box Open|Local|2017-02-18|52|2441
Last Chance State Qualifier - MN|Local|2017-02-18|43|2478
Peaks Weightlifting Meet|Local|2017-02-18|29|2511
Athletic Lab Winter Classic|Local|2017-02-18|57|2311
Qualifier for AO Series 1|Local|2017-02-18|7|2522
Hassle Free BBC Spring Breaker|Local|2017-02-18|186|2393
2017 Kilauea CrossFit Weightlifting Open|Local|2017-02-18|17|2490
Mid-February Max Out|Local|2017-02-18|12|2513
Midlands Open Weightlifting Championships.|Local|2017-02-18|22|2433
Boise Barbell Invite|Local|2017-02-18|8|2503
Atlantic States Open Weightlifting Championships|Local|2017-02-18|98|2341
Reno Qualifier|Local|2017-02-18|31|2450
Breaking Boundaries Open|Local|2017-02-18|35|2482
TSS Heartbreaker Qualifier|Local|2017-02-18|35|2397
Las Vegas Barbell Open|Local|2017-02-18|24|2446
MGC 91|Local|2017-02-18|9|2483
Barbell Lift Off|Local|2017-02-18|55|2358
Vaughn Weightlifting Okie Open|Local|2017-02-18|52|2209
Last Chance Qualifier for AO Series I|Local|2017-02-17|58|2385
AZHSWA High School & Youth Championship|Local|2017-02-17|30|2423
2017 La Coupe du Voyageur|Local|2017-02-12|4|2462
February Weightlifting League Competition|Local|2017-02-12|20|2402
Roc City Open Kilos For Cupid|Local|2017-02-12|25|2315
Packer Weightlifting Meet|Local|2017-02-11|30|2416
Cowboy Classic|Local|2017-02-11|35|2190
Warrior Winter Classic- Wisconsin State Championship 2017|Local|2017-02-11|101|2418
Thor's Stone Winter Weightlifting Meet|Local|2017-02-11|9|2460
5th Annual Cupid Classic|Local|2017-02-11|16|2492
Bars & Stripes|Local|2017-02-11|96|2304
2017 Trident Classic|Local|2017-02-11|48|2132
St. Valentine's Day Snatchacre|Local|2017-02-11|45|2238
Blaze High School Open|Local|2017-02-11|205|2484
Little Falls High School Open|Local|2017-02-11|115|2388
Colorado State and Open|Local|2017-02-11|162|2031
Oahu Open Weightlifting Championships|Local|2017-02-11|42|2413
Rogue Barbell Weightlifting Meet|Local|2017-02-11|9|2509
Double Barrel Classic Presented by Rogue Fitness|Local|2017-02-11|96|2187
Testify Cupid Classic|Local|2017-02-11|21|2391
2nd Annual Illumine Winter Meet|Local|2017-02-11|76|2381
2017 Bridgeport Barbell Club Old Folks Open|Local|2017-02-05|46|2184
2017 BlueWave Weightlifting Championships|Local|2017-02-04|41|2328
Olympia Winter Cup 2017|Local|2017-02-04|40|2291
2017 BlueWave Weightlifting Championships|Local|2017-02-04|41|2328
Olympia Winter Cup 2017|Local|2017-02-04|40|2291
Last Chance World Masters|Local|2017-01-31|7|2487
January Invitational|Local|2017-01-29|24|2440
Port Saint Lucie Weightlifting Open 2|Local|2017-01-29|46|2312
Rosemount High School Open|Local|2017-01-28|76|2346
2017 Baltimore Open|Local|2017-01-28|135|2204
Battle of Iwo Jima 2017|Local|2017-01-28|22|2294
Moorhead High School Weightlifting Meet|Local|2017-01-28|45|2372
Industrious Resolution|Local|2017-01-28|66|2239
Back Tight, Big Pull Open|Local|2017-01-28|48|2395
6th Annual Jake Powers Invitational|Local|2017-01-28|6|2489
Whitney Lunar New Year Open|Local|2017-01-28|47|2409
SAS Open|Local|2017-01-28|4|2365
SoCal Winter Classic|Local|2017-01-28|74|2210
2017 CanusaJekyllHYDE Open|Local|2017-01-28|97|2278
January Weightlifting League Competition|Local|2017-01-22|8|2401
Iron Athlete Open|Local|2017-01-21|39|2292
"I fudged up, guys" classic|Local|2017-01-21|7|2439
2017 Lunar New Year Open|Local|2017-01-21|47|2370
2017 Naples Winter Open|Local|2017-01-21|19|2282
John Davis Memorial 3|Local|2017-01-21|23|2415
Mash Mafia Invitational|Local|2017-01-21|6|2417
Team Arizona High School/Open & Junior National Qualifier|Local|2017-01-21|38|2394
Out of Step Barbell Open #12|Local|2017-01-21|34|2352
Reach Your Peak Classic|Local|2017-01-21|19|2384
2017 New Year Lift Off|Local|2017-01-21|28|2408
Old Dominion Classic 2017|Local|2017-01-21|98|2457
Junior Last Chance Qualifier|Local|2017-01-21|6|2459
The Groove Classic|Local|2017-01-21|33|2321
2017 Minnesota LWC Qualifier|Local|2017-01-21|3|2449
2017 Wilmington Open|Local|2017-01-21|25|2399
Ames Open|Local|2017-01-21|33|2302
OKC Winter Invitational|Local|2017-01-21|11|2438
Utah State Championships|Local|2017-01-20|96|2252
Tri State Open|Local|2017-01-15|65|2247
Fit Expo|Local|2017-01-15|44|2366
2017 Hoboken Open Weightlifting Championships|Local|2017-01-15|40|2411
Last chance meet 2|Local|2017-01-14|8|2390
Southern Open|Local|2017-01-14|31|2335
Masters of The Midwest|Local|2017-01-14|18|2369
Northern Colorado New Year Classic|Local|2017-01-14|38|2325
Raider Open|Local|2017-01-14|190|2359
SolaFide Barbell Winter Open|Local|2017-01-14|26|2336
Last Chance Jr. Nationals Qualifier|Local|2017-01-14|13|2392
Risto Olympia Cup Series- Event 1|Local|2017-01-14|41|2337
Buford Open|Local|2017-01-14|78|2283
Nashville Weightlifting New Year's Open|Local|2017-01-14|25|2272
Myles Ahead Cup|Local|2017-01-14|40|2373
Jaylin Open|Local|2017-01-14|20|2407
AKWC Winter Solstice Open Meet (AWSOM)|Local|2017-01-14|16|2318
HWC Winter Open 2017|Local|2017-01-14|25|2308
P2WL In-House Winter Qualifier|Local|2017-01-14|8|2396
Force Gym Meet 2|Local|2017-01-14|9|2445
Frank Spellman Classic|Local|2017-01-14|81|2231
2017 Fortius Developmental 1|Local|2017-01-14|32|2299
2017 Pittsburgh Open Weightlifting Championships|Local|2017-01-14|103|2342
The Gainesville Open|Local|2017-01-14|46|2243
2017 Texas State Weightlifting Championships|Local|2017-01-14|256|2356
Mattoon Open WL Championships|Local|2017-01-14|83|2267
Intrepid January Open|Local|2017-01-14|16|2378
Show Up and Lift|Local|2017-01-14|10|2357
MO Valley Championships|Local|2017-01-14|62|2213
West Michigan Muscle Junior National Qualifier|Local|2017-01-10|7|2447
Vaughn Weightlifting Northern California Open|Local|2017-01-07|36|2183
Team Spartacus Winter Open 2017|Local|2017-01-07|36|2260
Boise Barbell Masters Team Trial|Local|2017-01-07|9|2306
Barbell Bash 2017|Local|2017-01-07|23|2287
2017 TCA New Year's Weightlifting Meet|Local|2017-01-07|70|2275
Volusia Qualifier|Local|2017-01-07|10|2332
Last chance meet 1|Local|2017-01-07|8|2389
Event to get people qualified for AO Finals|Local|2017-01-01|2|3021
Onaga Christmas Open|Local|2016-12-31|43|1685
Unrivaled New Years Eve Throwdown|Local|2016-12-31|16|2367
AOS1 Qualifier|Local|2016-12-28|7|2379
Hyde Park Christmas Classic|Local|2016-12-18|47|2259
December Weightlifting League|Local|2016-12-18|19|2307
December Developmental Meet 2016|Local|2016-12-18|10|2339
MWL Holiday Hoist|Local|2016-12-18|15|2340
The AWC Kilos for Kringle Winter Slam|Local|2016-12-18|23|2331
THE HOLIDAY SEASON OPEN|Local|2016-12-18|106|2090
Big D End Of Year Dev|Local|2016-12-18|11|2355
16 th Annual Holiday Cup|Local|2016-12-18|38|2344
Testify Christmas Classic|Local|2016-12-17|15|2324
Moorestown Winter Open|Local|2016-12-17|70|2235
Hassle Free BBC Winter Breaker|Local|2016-12-17|150|2293
Winter Break Meet|Local|2016-12-17|8|2327
Jingle Barbells Winter Classic - High School/Youth/Junior & Open|Local|2016-12-17|24|2361
FRCF Winter 2016 Invitational Weightlifting Meet|Local|2016-12-17|15|2317
2016 Kirkwood Winter Challenge|Local|2016-12-17|39|2262
3rd Annual Winter Solstice Open|Local|2016-12-17|49|1664
Chaos Christmas Classic|Local|2016-12-17|11|2320
Adios 16|Local|2016-12-17|9|2354
Mustang Weightlifting Meet|Local|2016-12-17|35|2334
Gayle Hatch Louisiana Christmas Weightlifting Meet|Local|2016-12-17|28|2313
2016 Winter Gain Train Invitational|Local|2016-12-10|11|2305
Holly Jolly Barbell Throwdown|Local|2016-12-10|14|2261
Winter Open|Local|2016-12-10|7|2353
BSBC 3rd Annual Winter Open|Local|2016-12-10|17|2309
James Irwin|Local|2016-12-10|93|2310
Winter Open|Local|2016-12-10|7|2353
2016 Winter Gain Train Invitational|Local|2016-12-10|11|2305
2016 American Open|National|2016-12-08|626|1973
2016 Youth & Junior Session @ American Open|National|2016-12-08|97|1977
Covert Barbell Winter Weightlifting Meet|Local|2016-12-03|27|2216
Iowa State Championships|Local|2016-12-03|55|2227
VBW Sleigh Bells and Barbells|Local|2016-12-03|11|2285
merry liftmas 2016|Local|2016-12-03|18|2290
BrewCity Open|Local|2016-12-03|71|2303
Hawaii Open Weightlifting Championships|Local|2016-12-03|22|2319
ThanksLifting|Local|2016-12-03|23|2237
2016 Turkey Meet|Local|2016-11-27|6|2333
Pgh Barbell Thanksgiving Club Meet|Local|2016-11-27|13|2314
Thanksgiving Meet|Local|2016-11-26|9|2269
Connecticut State Senior, Junior, and Masters Championships|Local|2016-11-20|56|2152
Visalia Lift Off|Local|2016-11-20|27|2258
Olympia Harvest Classic|Local|2016-11-19|45|2228
Rite of Passage Meet|Local|2016-11-19|62|2207
Thanksgiving Throwdown|Local|2016-11-19|18|2323
PFB Weightlifting Fall Open|Local|2016-11-19|30|2218
2016 Harvest Open|Local|2016-11-19|51|2072
Turkey Classic|Local|2016-11-19|30|2200
Donny Shankle Weightlifting Competition|Local|2016-11-19|7|2316
Turkey Cup|Local|2016-11-19|70|2212
Intrepid Winter Open|Local|2016-11-19|27|2255
Relentless Open|Local|2016-11-19|21|2177
Mario Martinez Celebratory Classic|Local|2016-11-19|62|2194
53nd Annual Don Wilson Golden West Open|Local|2016-11-13|44|2236
2016 KIM BARBELL OPEN|Local|2016-11-12|39|2273
